burnham park|-74.4966539 40.798698
kingdom hall of jehovahs witnesses|-74.144546 40.630432
new york pentecostal assembly staten island|-74.1442335 40.6303992
public school|-74.1330756 40.6179902
mountainside police headquarters|-74.35592 40.6717915
mountainside rescue squad|-74.3566226 40.6717624
mountainside fire department|-74.3582616 40.672828
mountainside public library|-74.3571995 40.6726062
all saints episcopal church|-74.1415854 40.6117024
willowbrook substation|-74.1456251 40.6107796
mobil|-74.147311 40.6103417
bagel bistro|-74.1237247 40.6127733
saint john lutheran school|-74.1208749 40.610939
wendys|-74.1474184 40.625306
firestone|-74.1478701 40.6253254
shoprite|-74.14857 40.622835
perkins|-74.1470186 40.6252044
saint clement and saint michaels church|-74.1600123 40.6313403
public school|-74.1571791 40.6315428
franks|-74.1490913 40.6253271
mcdonalds|-74.1493378 40.6254831
christ united methodist church|-74.1527573 40.6252609
rapleys barber shop|-74.1489936 40.6253128
staten island school of civic leadership|-74.1645434 40.6203929
todt hill westerleigh library|-74.1484977 40.6095746
corporate commons one at the teleport|-74.1794024 40.6053389
corporate commons two at the teleport|-74.1798659 40.6055715
roman catholic church of our lady of pity  st anthony of padua|-74.1620714 40.6088452
hellenic classical charter school|-74.1617352 40.6079779
mcdonalds|-74.1628695 40.6077778
holy trinity saint nicholas greek orthodox church|-74.1613505 40.6077366
ramada|-74.1465916 40.6085778
campus services and central plant|-74.1501851 40.6055261
engineering technologies|-74.1493184 40.6029371
school of physical therapy|-74.1477194 40.6029373
school of business|-74.1505114 40.6018361
campus center|-74.1485043 40.6018417
north administration|-74.1517102 40.6008624
political science economics  and philosophy marchi hall|-74.1493139 40.6007362
west administration|-74.1528097 40.5996582
south administration|-74.1517124 40.5984623
world languages and literatures|-74.1493147 40.5985866
mathematics|-74.1477169 40.5985864
school of education|-74.1505125 40.5974862
biology|-74.1504667 40.5966391
psychology|-74.1493157 40.5963846
health sciences  school of nursing marcus hall|-74.1477149 40.596385
performing and creative arts|-74.1496486 40.5996572
academic building|-74.1489572 40.6055404
physics and astronomy|-74.1477165 40.6007355
n|-74.152855 40.6042848
menorah chapels|-74.161471 40.5950822
noble furniture|-74.1619074 40.5934379
wendys|-74.1668992 40.5881916
public school|-74.1506138 40.6248082
greenbelt recreation center|-74.1392536 40.5917724
subway|-74.1039012 40.6160008
eleven|-74.1035921 40.6161534
richmond savings community bank|-74.1034849 40.6157693
stage one theatre|-74.0966718 40.617641
wagner union|-74.0930392 40.6155551
campus hall|-74.0923228 40.6132734
harborview hall|-74.0907578 40.6146286
main hall|-74.0942553 40.6148318
megerle science building|-74.0952085 40.6143646
spiro hall|-74.0950493 40.6147167
department for lifelong learning|-74.0941916 40.6159118
guild hall|-74.0918557 40.6143943
parker hall|-74.0929739 40.6134148
kairos house|-74.0929843 40.6146673
cunard hall|-74.0923616 40.6141326
pape admissions house|-74.0931994 40.61427
foundation hall|-74.0938776 40.6136771
reynolds house|-74.0923911 40.6146508
maintenance shop|-74.0918693 40.6127131
public safety house|-74.0933299 40.6150615
the home depot|-74.0837137 40.6132367
greenbelt headquarters|-74.1230287 40.5826207
pouch lab|-74.1225374 40.5827601
environmental education bldg|-74.1242881 40.5826799
urban park rangers|-74.1219701 40.5828286
classroom  studio|-74.1235591 40.5830469
maintenance shop|-74.1143744 40.5815428
parish house|-74.1145429 40.580585
stone court|-74.1065505 40.5871807
office|-74.1154146 40.5808395
valley view mausoleum d|-74.1160309 40.582688
valley view mausoleum f|-74.1152803 40.5823354
church|-74.1149915 40.5804225
valley view mausoleum d|-74.1162223 40.5827958
parsonage|-74.114376 40.5811652
garden view mausoleum i ii|-74.1155731 40.582438
valley view mausoleum e|-74.1158225 40.58257
fdny engine   battalion|-74.0704047 40.6116529
arrochar pharmacy|-74.0658967 40.5984388
south beach library|-74.0630266 40.5958019
b g marketplace|-74.0703935 40.5970211
vanderbilt at south beach|-74.0664632 40.5891988
ninos restaurant|-74.0797626 40.5982814
concord cleaners|-74.082448 40.5979596
nissan|-74.0832368 40.5977763
honda|-74.0836791 40.5974083
st anns church|-74.0974386 40.5912624
walgreens|-74.0928732 40.5863373
staten island little league clubhouse|-74.0970589 40.5838392
intermediate school|-74.1001777 40.577155
beach change room|-74.0908151 40.568319
mission of the icon of the mother of god unexpected joy|-74.0934428 40.5714297
mcdonalds|-74.1021444 40.5775817
public school|-74.0992851 40.5747858
moore mcmillen house|-74.1388183 40.5731365
planet wings|-74.1038624 40.5767963
macs public house|-74.1082206 40.5789326
white castle|-74.1042208 40.5764043
lensesrx online optical|-74.1064885 40.5742883
kfc|-74.1096643 40.5709753
new dorp library|-74.111957 40.5719316
miller field north hangar|-74.0951722 40.5643207
broadway arches|-74.0007501 40.726636
bapple real estate|-74.0011197 40.7260263
eden gallery|-74.0014084 40.7228235
thompson|-74.0030718 40.7239398
knoll international design center|-74.0009907 40.7246711
pinko|-74.0011208 40.7243666
de forest building|-73.9997938 40.7225661
new era building|-74.0000629 40.7222475
nomo soho|-73.9998457 40.7197739
alma|-74.0021356 40.6855582
flosco iron works|-74.0044909 40.6857554
iron works pilatasig|-74.0044007 40.6857304
bleecker|-74.000854 40.7288308
bass  bourbon|-74.0046015 40.6816187
tiro a segno|-74.0017851 40.7287488
the atrium|-74.0005155 40.7283325
little red school house  elisabeth irwin high school|-74.0019533 40.7292835
mill house no|-74.000201 40.728435
milea truck sales  leasing|-74.0046927 40.6846259
nico bros auto sales|-74.0034981 40.6810052
comedy cellar|-74.0005647 40.730194
filomen dagostino residence hall|-73.9998906 40.7300682
the kati roll company|-74.0010784 40.7296509
washington square church|-73.9999711 40.7314825
wilf hall|-74.0000243 40.7308871
northern dispensary|-74.0013048 40.7336899
keg  lantern brewery|-74.0157843 40.6757372
pier|-74.0188048 40.6768714
south brooklyn auto body|-74.0149696 40.6801777
red hook grain terminal|-74.0064763 40.6692754
ikea|-74.0111662 40.6714335
jofaz transportation|-74.0107431 40.673619
linda tool|-74.0111203 40.6738901
ab iron works|-74.0132145 40.6792865
jabus building corp|-74.0139445 40.6754456
building|-74.0134567 40.6799509
pioneer works|-74.0121285 40.6792059
pentecostal evangelist church|-74.0136319 40.6446316
sunset park loft condominium|-74.0122968 40.6441777
flamingo furniture|-74.010909 40.6441666
blink fitness|-74.0130852 40.6454966
fdny engine ladder battalion|-74.013206 40.6453921
templo de la alabanza|-74.0136692 40.6449343
fabco shoes|-74.0118885 40.6439555
bruno building|-74.0010292 40.66166
vfw|-74.0020104 40.6603883
sunrise cash  carry|-74.0020543 40.6603267
kamco building materials|-73.9994988 40.6646657
brothers live poultry|-74.0010638 40.6612516
pet delight|-74.0005415 40.661799
uniforms by park coats|-74.0016863 40.6606983
our lady of lourdes chapel|-74.0999554 40.5613942
woodrow united methodist church|-74.2012744 40.5430886
homegoods|-74.1129744 40.5651256
reformed church of huguenot park|-74.1923964 40.5319852
huguenot park library|-74.1932352 40.5340576
santander|-74.1922796 40.5323397
amboy locksmith|-74.1920653 40.5322148
our lady star of the sea church|-74.1911672 40.5327369
canlons restaurant|-74.126847 40.5651704
richmondtown library|-74.1385486 40.5665354
public school|-74.1371061 40.5521531
great kills library|-74.1511106 40.5524238
bethel evangelical free church|-74.1645724 40.5421594
intermediate school|-74.1455049 40.5457401
great kills station staten island post office|-74.1509764 40.5507908
top tomato superstore|-74.1515581 40.5496984
cvs pharmacy|-74.1523792 40.5497015
public school|-74.1522948 40.5474666
saint clares school|-74.1504842 40.5466124
dunkin donuts|-74.1635571 40.5602028
elks lodge|-74.1704833 40.5597044
dove diner|-74.1690686 40.5589597
boston market|-74.1687097 40.5606351
portobello cafe|-74.1508361 40.5373434
kittys  family florists|-74.1650309 40.5448278
tonys masonry llc|-74.1603715 40.5473068
scalia funeral home|-74.1647861 40.5450982
pastosa ravioli|-74.1652958 40.5453429
td bank|-74.1623587 40.5450217
amboy car wash|-74.1632449 40.5446463
goodyear|-74.1632375 40.5442216
bank of america|-74.164048 40.5438547
public school|-74.1827501 40.5431122
barbara rauch tutoring|-74.1787435 40.5411421
privé|-74.177095 40.5421207
keepers quarters|-74.0116924 40.576467
richmond county savings bank|-74.177727 40.541763
annadale terrace|-74.1771112 40.5425113
auto complete ny|-74.1784455 40.5418131
richmond county savings bank|-74.1646992 40.5432595
progressive pediatrics|-74.1685812 40.5403142
ymca counseling center|-74.163565 40.543076
regional radiology south|-74.1634681 40.5428452
eltingville florist|-74.1633648 40.5420115
church of the holy child|-74.1706656 40.5402365
ymca south shore branch|-74.1627814 40.5425484
burger king|-74.163836 40.5432604
mermaid spa|-74.0031893 40.5750185
abraham residence|-74.0057105 40.5749912
eltingville lutheran church|-74.166653 40.5525949
runnells center for rehabilitation and healthcare|-74.4217606 40.6650483
shore road field house|-74.0394765 40.6161898
santander|-74.0340588 40.6170179
encore|-74.0335525 40.6124847
laundry king superstore|-74.0330417 40.6139141
saint johns episcopal church|-74.0316966 40.6124971
philadelphia grill|-74.0340378 40.6127242
narrows medical building|-74.033882 40.6131877
brooklyn public library|-74.0313951 40.616402
mclaughlin  sons funeral home|-74.0343813 40.6161441
met fresh supermarket|-74.0342609 40.6164593
bethel presbyterian reformed church|-74.031312 40.61722
chase|-74.0329013 40.6182756
fushimi|-74.0309845 40.6173287
third avenue auto repair|-74.0328512 40.6180029
wallgreens|-74.0338172 40.6177267
bmw of brooklyn pre owned|-74.0301648 40.6175316
pauls th ave universal diagnostic auto repair|-74.0304243 40.6169549
ufcw local|-74.0302107 40.6172799
dunkin donuts baskin robbins|-74.0302751 40.6171935
scheuer house of coney island|-74.002054 40.5736326
mermaid manor|-74.0020014 40.574393
ks music school|-74.0332156 40.6192851
fort hamilton high school|-74.0393622 40.6271768
fort hamilton high school|-74.0393144 40.6271038
trinity lutheran church|-74.0327411 40.6202255
prince hotel|-74.0323889 40.6188014
honda|-74.0295955 40.6206668
volkswagen|-74.0296844 40.6202146
mazda|-74.0298693 40.6197961
foodtown|-74.0322417 40.619808
citizens bank|-74.0325042 40.619305
ambassador|-74.0344849 40.6230488
citymd|-74.0290753 40.6217897
investors bank|-74.0291396 40.6215995
holy cross greek orthodox church|-74.0327448 40.6253436
inaka japanese fusion|-74.0306039 40.6252273
aleli|-74.028996 40.6291616
saint anselm roman catholic church|-74.0278043 40.6256639
saint anselms school|-74.0277986 40.6253626
saint marys orthodox church|-74.0326972 40.6275816
horizon christian fellowship church|-74.0320298 40.6274372
brooklyn harvest market|-74.0299604 40.6269503
the gingerbread house|-74.0384225 40.6279601
saint nicholas cathedral|-74.0360756 40.6308603
united korean church of new york|-74.0259967 40.629659
clavin funeral home|-74.026204 40.6288733
the ridge|-74.028479 40.6313895
temple of restoration|-74.025631 40.6303919
washington irving building bay ridge|-74.029949 40.6325124
superfresh|-74.0271925 40.6358055
marathon bank|-74.0266017 40.6335862
okinawa|-74.0264969 40.6357354
bay ridge branch brooklyn public library|-74.0295369 40.6336245
mcgoverns wines  liquors|-74.0275723 40.6327301
saint mariaes school|-74.0256289 40.6319072
ridge harbor owners corporation|-74.0310153 40.6350235
ridge harbor owners corporation|-74.0311978 40.6347538
fdny engine  ladder|-74.0251375 40.6381541
gateway city academy|-74.0267769 40.6361865
gateway city church|-74.0264749 40.6362561
saint andrew the apostle church|-74.0275217 40.6383584
bay view court|-74.0286544 40.6167394
fort view court|-74.0288093 40.6165532
monsignor joseph k parks center|-74.0306567 40.6151807
william oconnor school|-74.0304721 40.6150255
kfc|-74.0291682 40.6176711
fdny engine|-74.0294183 40.617348
staples|-74.0300239 40.6166084
saint patricks roman catholic church|-74.0309546 40.6153312
saint patricks rectory|-74.0310859 40.6150588
fort hamilton senior recreation center|-74.031652 40.6118215
saint patrick catholic academy|-74.0312561 40.6147381
fort hamilton station brooklyn post office|-74.0271784 40.6198897
eleven|-74.0288573 40.620595
bay ridge honda|-74.0287493 40.620819
panda express|-74.0281209 40.6222906
wendys|-74.0279991 40.6222497
banana republic|-74.0279501 40.6222054
gap|-74.0274924 40.6226137
apple bank|-74.0278478 40.6221257
mcdonalds|-74.0277551 40.6220869
duane reade|-74.0276205 40.6219884
new york sports club|-74.0272579 40.6224717
t mobile|-74.0274893 40.6219432
bath  body works|-74.0274 40.621851
att|-74.0268375 40.6222198
chipotle|-74.0266114 40.6220814
sally beauty|-74.026554 40.6220484
the vitamin shoppe|-74.0264731 40.6219505
starbucks|-74.026001 40.6209865
burger king|-74.0262299 40.6219214
d|-74.0284569 40.6216215
best western gregory hotel|-74.0273619 40.6243581
c town|-74.0230748 40.6292931
bay ridge united church|-74.0188835 40.6269492
chinese promise baptist church|-74.022813 40.6263712
chase|-74.0222538 40.6295862
bethlehem lutheran church|-74.0231662 40.6330534
carma car care|-74.0228062 40.6352897
total kitchen|-74.0222516 40.6375982
fourth avenue presbyterian church|-74.0228107 40.6354809
salem lutheran church|-74.0213159 40.6359208
bay ridge baptist church|-74.022386 40.6365837
alpine cinema|-74.0203105 40.6334073
mikes deli|-74.0182252 40.6323253
jehovahs witnesses   bay ridge|-74.0185638 40.6316818
bay ridge ford|-74.0226958 40.6189552
hamilton park nursing and rehabilitation center|-74.0233474 40.615496
redeemer saint johns lutheran church|-74.0188533 40.6199891
the william mckinley park house|-74.0167318 40.6265619
new york engine company|-74.0125273 40.6199466
saint ephrems catholic church|-74.0157402 40.6256599
the oltarsh building|-74.0014124 40.719389
wendys|-74.0002623 40.5954177
public school|-74.0018007 40.602927
nd precinct station|-74.0026846 40.6023397
russian orthodox church of the new martyrs and confessors of russia|-74.0033897 40.6061549
fdny engine   ladder|-74.003467 40.6060483
netcost market|-74.0037285 40.6058134
home sweet home tutoring|-74.0049675 40.6029843
saint finbar catholic church|-74.0039137 40.6041445
new utrecht reformed church|-74.0003785 40.6080738
roman catholic church of our lady of guadalupe|-74.0012408 40.6187967
shell|-73.9999089 40.6169076
giulias cucina  dessert|-74.0003719 40.616204
outflation discount corp|-74.0019042 40.6183371
dream house realty|-74.0030078 40.6173565
nail lab inc|-74.0030496 40.6173104
th avenue mini market corp|-74.0029375 40.6173837
romeo brothers meat corp|-74.0046601 40.6156899
jmart|-74.0011277 40.6101337
rite aid|-74.0008694 40.6092022
bensonhurst center for rehabilitation  healthcare|-74.0026838 40.6090421
new utrecht branch brooklyn public library|-74.0033743 40.6080085
cvs pharmacy|-74.0020613 40.6081517
star market|-74.0030698 40.6072556
santander|-74.0026757 40.6076318
bay ridge chevrolet|-74.0075299 40.6105192
chinese buffet|-74.0065758 40.6099682
metropolitan independent baptist church|-74.0055406 40.6106911
saint francis cabrini roman catholic church|-74.0081758 40.6099489
baby world|-74.0021487 40.6187959
